City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,saskylakh,71.9167,114.0833,-42.36,98,53,6.82,RU,1675918267
114,chapais,49.7834,-74.8492,-7.82,100,70,3.04,CA,1675918559
115,torres,-29.3353,-49.7269,70.83,94,46,8.93,BR,1675918559
116,khatanga,71.9667,102.5,-43.38,99,66,3.94,RU,1675918283
117,dunmore town,25.5,-76.65,73.22,65,100,18.05,BS,1675918560
118,fort nelson,58.8053,-122.7002,5.95,93,20,3.44,CA,1675918560
119,killybegs,54.6333,-8.45,44.2,72,79,17.43,IE,1675918561
120,mehamn,71.0357,27.8492,35.51,86,100,23.02,NO,1675918561
121,cherdyn,60.403,56.4787,25.63,90,100,9.13,RU,1675918562
122,dikson,73.5069,80.5464,-4.13,87,75,10.42,RU,1675918275
123,kapoeta,4.7717,33.5903,81.19,26,34,1.79,SS,1675918563
124,saint-philippe,-21.3585,55.7679,81.99,80,62,12.33,RE,1675918488
125,gorontalo,0.5412,123.0595,88.3,56,99,6.2,ID,1675918563
126,sayansk,54.1088,102.1648,10.63,90,100,1.36,RU,1675918564
127,sarangani,5.4033,125.4636,81.37,72,95,9.55,PH,1675918564
128,kattivakkam,13.2167,80.3167,80.69,60,83,4.56,IN,1675918565
129,lebu,-37.6167,-73.65,58.14,95,5,9.98,CL,1675918565
130,grand forks,47.9417,-97.4337,28.33,81,0,11.5,US,1675918566
131,oyama,36.3,139.8,51.58,19,11,4.25,JP,1675918566
132,castro,-24.7911,-50.0119,60.51,95,10,4.54,BR,1675918567
133,manokwari,-0.8667,134.0833,77.47,83,100,1.83,ID,1675918567
134,katsuura,35.1333,140.3,48.16,36,83,8.57,JP,1675918568
135,novo aripuana,-5.1206,-60.3797,73.54,99,97,2.04,BR,1675918568
136,fossombrone,43.6908,12.8127,34.88,88,100,2.8,IT,1675918568
137,cayenne,4.9333,-52.3333,77.04,88,100,4.61,GF,1675918569
138,vangaindrano,-23.35,47.6,75.96,88,100,5.53,MG,1675918569
139,sur,22.5667,59.5289,77.05,62,13,11.3,OM,1675918570
140,victoria,22.2855,114.1577,72.32,79,96,17.0,HK,1675918570
141,karratha,-20.7377,116.8463,94.53,46,0,12.3,AU,1675918570
142,vagur,61.4732,-6.8119,38.5,65,89,44.31,FO,1675918571
143,stepnyak,52.8339,70.7803,-2.2,97,63,4.32,KZ,1675918572
144,kavaratti,10.5669,72.642,79.65,70,100,4.09,IN,1675918553
145,cabedelo,-6.9811,-34.8339,77.67,83,71,9.62,BR,1675918572
146,tateyama,34.9833,139.8667,48.49,40,52,12.71,JP,1675918388
147,port alfred,-33.5906,26.891,67.17,98,100,3.4,ZA,1675918573
148,kieta,-6.2167,155.6333,84.22,71,100,6.78,PG,1675918353
149,ginda,30.6945,78.4932,59.25,15,23,5.75,IN,1675918573
150,kahului,20.8947,-156.47,74.84,72,40,19.57,US,1675918574
151,riyadh,24.6877,46.7219,50.14,46,65,12.53,SA,1675918574
152,koslan,63.4564,48.8989,22.24,86,62,11.23,RU,1675918575
153,champerico,14.3,-91.9167,77.54,75,8,9.4,GT,1675918575
154,leningradskiy,69.3833,178.4167,-18.0,97,100,5.91,RU,1675918576
155,hobart,-42.8794,147.3294,72.27,59,99,6.76,AU,1675918270
156,lompoc,34.6391,-120.4579,56.84,84,0,11.5,US,1675918577
157,ostrovnoy,68.0531,39.5131,33.24,84,100,39.8,RU,1675918577
158,camopi,3.1655,-52.3158,71.69,100,100,2.15,GF,1675918578
159,anjozorobe,-18.4,47.8667,64.69,86,99,7.11,MG,1675918578
160,indianola,41.3581,-93.5574,38.57,76,100,1.99,US,1675918579
161,bela,25.9333,81.9833,70.66,33,0,7.18,IN,1675918579
162,clyde river,70.4692,-68.5914,-32.57,68,75,9.22,CA,1675918580
163,lexington park,38.2668,-76.4538,47.66,83,75,3.44,US,1675918392
164,east london,-33.0153,27.9116,67.14,94,75,5.75,ZA,1675918580
165,carnarvon,-24.8667,113.6333,87.73,52,52,15.61,AU,1675918581
166,cravo norte,6.3017,-70.2041,78.49,60,10,5.41,CO,1675918581
